much	negative:-4.9485655646877005	positive:-4.9126872770227985
check	negative:-7.434191750262276	positive:-7.028726642154111
videotaped	negative:-9.630102784785171	positive:-9.224637676677007
well	negative:-5.242947320146089	positive:-4.799363253934315
because	negative:-4.943037552858467	positive:-5.058550439980311
out	negative:-4.445483663675352	positive:-4.573939894127828
paid	negative:-8.021124808625153	positive:-8.12648532428298
screen	negative:-6.16846598756277	positive:-6.137694328896016
you	negative:-4.310287649126042	positive:-4.293758347174831
video	negative:-6.564281846901941	positive:-6.924284580933348
front	negative:-6.957759812239216	positive:-6.891068437740544
also	negative:-5.4673458321986255	positive:-4.892462572132414
''	negative:-4.371181233313834	positive:-4.464209754123488
my	negative:-4.858325511370272	positive:-4.829576098084287
it	negative:-3.853771307838561	positive:-3.8274154631331982
to	negative:-3.733203163869923	positive:-3.7463785850284874
at	negative:-4.30355260120064	positive:-4.454155080971801
called	negative:-6.587943483254032	positive:-6.770265040047986
enjoy	negative:-6.497954699327793	positive:-6.215722231643577
seated	negative:-9.630102784785171	positive:-9.224637676677007
people	negative:-5.042614284149614	positive:-5.0680609498107785
here	negative:-5.471521256064188	positive:-5.519149305053442
went	negative:-6.564478548866316	positive:-6.742159726103768
movie	negative:-4.036709087070727	positive:-4.239785075334128
for	negative:-4.078140321872925	positive:-4.023481909335061
showed	negative:-7.83903314066454	positive:-7.684882460837282
row	negative:-8.244071270295786	positive:-8.714074899541522
waste	negative:-6.120854914825163	positive:-8.246105992536293
better	negative:-5.251069490701175	positive:-5.49619194873416
's	negative:-3.992661920082302	positive:-3.9841221585341673
appears	negative:-7.146640937244955	positive:-7.105818942724699
just	negative:-4.494447899342053	positive:-4.67734599117648
a	negative:-3.71748817315174	positive:-3.716201999340996
<	negative:-4.2051071271689215	positive:-4.192368101391492
breakdance	negative:-10.323184242891017	positive:-9.630037062331072
money	negative:-5.9703129334155784	positive:-6.589352141821802
old	negative:-5.997923903632297	positive:-5.785362461648624
time	negative:-4.787233311458731	positive:-4.752944237980099
own	negative:-6.217816062154013	positive:-5.628209560534908
many	negative:-5.520810299752113	positive:-5.1400378042343196
Tenant	negative:-10.323184242891017	positive:-9.630037062331072
who	negative:-4.571921665847064	positive:-4.360021206107034
(	negative:-4.258442380059604	positive:-4.242764567340374
efforts	negative:-9.224900523307513	positive:-8.020927718981577
What	negative:-5.6471141367878355	positive:-5.947218729238173
unexpected	negative:-9.224999072984842	positive:-7.758662004191415
performances	negative:-6.800104561112762	positive:-6.0923585811316645
unstable	negative:-8.937021322360168	positive:-9.22470339481195
under	negative:-6.992818330646583	positive:-6.891035636336641
guide	negative:-8.937284151719721	positive:-7.925683240041241
The	negative:-4.04241771484833	positive:-4.001740135087514
has	negative:-4.681455844783915	positive:-4.43633338675093
though	negative:-5.67655808840133	positive:-5.526497393825596
inexplicable	negative:-9.224670536284338	positive:-9.224670536284338
later	negative:-6.5195405242805	positive:-6.414180008622674
Therefore	negative:-8.937152745674855	positive:-8.377536957739432
rest	negative:-6.10721938356735	positive:-6.565526973049894
Trelkovsky	negative:-10.323217104657997	positive:-9.224604815989887
apartment-warming	negative:-10.323184242891017	positive:-9.630037062331072
)	negative:-4.249804707112471	positive:-4.227679910831835
man	negative:-5.8871165905345615	positive:-5.5506443539133485
really	negative:-4.802082934429576	positive:-4.830028864820135
through	negative:-5.404308118347946	positive:-5.53577125790841
meek	negative:-10.323184242891017	positive:-9.630037062331072
us	negative:-6.024428722646958	positive:-5.817634309334278
uncertainty	negative:-9.630069924098052	positive:-9.630069924098052
group	negative:-6.82854808075921	positive:-7.029218776221361
world	negative:-6.154335337772279	positive:-5.655893773206009
never	negative:-5.180451234953733	positive:-5.303304908059076
par	negative:-8.713943484862313	positive:-8.937087036176523
suicide	negative:-7.926011679627733	positive:-7.6848496228108445
deterioration	negative:-10.323184242891017	positive:-9.630037062331072
his	negative:-4.656893896208032	positive:-4.5032275951744545
building	negative:-8.021190496541886	positive:-7.92588031673756
manner	negative:-7.926077354602307	positive:-7.551383905160897
left	negative:-6.0932752915154005	positive:-6.2002474110675685
party	negative:-7.839230146181332	positive:-7.328404522415341
seemingly	negative:-7.758924755859757	positive:-7.925978840522924
however	negative:-6.860139425040474	positive:-6.355583414288079
coworkers	negative:-9.630102784785171	positive:-9.224637676677007
fellow	negative:-8.126452478706454	positive:-8.126452478706454
objective	negative:-9.224801963917187	positive:-8.377504103529983
--	negative:-6.023578465883612	positive:-6.153256289192145
detail	negative:-8.021223338882233	positive:-7.8389017820882785
can	negative:-4.75795580995318	positive:-4.6443586322294745
escalating	negative:-10.323184242891017	positive:-9.630037062331072
thriller	negative:-7.433699373879829	positive:-7.839164481987993
tenant	negative:-9.630069924098052	positive:-9.630069924098052
included	negative:-7.759023269939141	positive:-7.68491529778542
due	negative:-7.146608124001527	positive:-7.146608124001527
equal	negative:-8.714009194360644	positive:-8.53168763756669
score	negative:-7.147198597709799	positive:-6.587582809774377
k	negative:-8.937021322360168	positive:-9.22470339481195
After	negative:-6.414343811469934	positive:-6.414343811469934
previous	negative:-7.759220268987616	positive:-7.328437352895162
gives	negative:-6.959038228488593	positive:-6.077838816425708
obtained	negative:-9.224637676677007	positive:-9.630102784785171
relief	negative:-8.714107750513092	positive:-8.126321085610973
seems	negative:-5.704043878395763	positive:-5.959568839213013
scrutiny	negative:-10.323184242891017	positive:-9.630037062331072
makes	negative:-5.648485073156099	positive:-5.526595255547062
mental	negative:-8.021223338882233	positive:-7.8389017820882785
amounts	negative:-8.713976340151197	positive:-8.713976340151197
full-blown	negative:-10.323184242891017	positive:-9.630037062331072
mindfu	negative:-10.323184242891017	positive:-9.630037062331072
fear	negative:-7.758990432991004	positive:-7.758990432991004
hop	negative:-9.630102784785171	positive:-9.224637676677007
;	negative:-5.6124761733836905	positive:-5.471162640317113
comes	negative:-6.216507931939348	positive:-6.078886554063301
intricately-plotted	negative:-10.323184242891017	positive:-9.630037062331072
said	negative:-6.079148317038423	positive:-6.093537054490523
are	negative:-4.2391916678699895	positive:-4.204405551784574
Polish	negative:-9.630069924098052	positive:-9.630069924098052
reason	negative:-6.107284873596517	positive:-6.520130089002303
seldom	negative:-10.323348540928025	positive:-8.377438391872712
fine	negative:-7.147329766754093	positive:-6.496742200612943
brooding	negative:-10.323184242891017	positive:-9.630037062331072
described	negative:-8.021026268658906	positive:-8.531851892424896
sense	negative:-6.183395866526828	positive:-6.588860974634993
addressed	negative:-9.630135644392501	positive:-8.936988463832558
David	negative:-7.328929680795481	positive:-6.992457444174268
so	negative:-4.462058628769565	positive:-4.55542084636059
chronicles	negative:-10.323217104657997	positive:-9.224604815989887
increasingly	negative:-8.713943484862313	positive:-8.937087036176523
laced	negative:-9.224637676677007	positive:-9.630102784785171
thrown	negative:-7.7591217743144565	positive:-7.4908577877197775
haunting	negative:-10.32347995992483	positive:-7.9255846871264595
occupants	negative:-10.323217104657997	positive:-9.224604815989887
Polanski	negative:-10.323249965345116	positive:-8.936955604225226
*	negative:-6.283118982426807	positive:-6.715252337617133
apartment	negative:-8.377766906987361	positive:-7.925781783244304
Lynch	negative:-9.224736252259914	positive:-8.713910628493924
obnoxious	negative:-8.24400556511491	positive:-9.224834818126634
first-class	negative:-10.323249965345116	positive:-8.936955604225226
be	negative:-4.197696692997754	positive:-4.268055373939
plot	negative:-4.945223738499587	positive:-5.51401390271105
we	negative:-5.192989338991446	positive:-5.125166742652685
increased	negative:-10.323184242891017	positive:-9.630037062331072
suspense	negative:-7.233356956275002	positive:-7.434027651737153
experienced	negative:-8.531851892424896	positive:-8.021026268658906
truly	negative:-6.519835350089721	positive:-6.248960395954322
thorough	negative:-9.224670536284338	positive:-9.224670536284338
paranoia	negative:-9.224801963917187	positive:-8.377504103529983
every	negative:-5.629679164496274	positive:-5.6667204361766235
comic	negative:-7.434224566736148	positive:-6.9923918144571084
wrought	negative:-10.323217104657997	positive:-9.224604815989887
sinister	negative:-9.63020136036808	positive:-8.531589071699969
...	negative:-5.097008169414731	positive:-5.473637727883007
Pictures	negative:-9.630168502920114	positive:-8.71387777104596
question	negative:-7.759548514518218	positive:-6.923300490317599
version	negative:-6.4142455329813775	positive:-6.476120936699465
all	negative:-4.35475666989714	positive:-4.385138753585262
oh	negative:-7.379467973259663	positive:-8.532147483198049
magically	negative:-8.936988463832558	positive:-9.630135644392501
listen	negative:-7.925946000339673	positive:-7.838934623350043
right	negative:-5.921676498924646	positive:-5.9463691115150175
allow	negative:-7.433600869504513	positive:-8.126748050064458
quite	negative:-5.910045390555145	positive:-5.785591216081738
criticism	negative:-8.937119891465406	positive:-8.531654783357242
slow	negative:-6.49661103156865	positive:-7.329520154503754
make	negative:-4.835342042028377	positive:-5.20670153765003
real	negative:-5.724924074409577	positive:-5.593895812003172
Larry	negative:-8.713943484862313	positive:-8.937087036176523
one	negative:-4.28066759689719	positive:-4.262360449452833
type	negative:-7.028956334859096	positive:-7.105917375995224
see	negative:-4.754397046190561	positive:-4.6279128990814415
work	negative:-5.765289060369289	positive:-5.685246352695753
And	negative:-5.1353433448862456	positive:-5.336628102387956
your	negative:-5.328136772087688	positive:-5.495801171081669
throw	negative:-7.433568032556376	positive:-8.244498248772706
gags	negative:-8.244268359939364	positive:-7.925814628820829
lifted	negative:-8.3774712482411	positive:-9.630234216736469
Toward	negative:-9.630037062331072	positive:-10.323184242891017
stuck	negative:-7.490759283344461	positive:-8.021387534406632
years	negative:-6.025898614629587	positive:-5.417308822097704
know	negative:-5.2962698172034015	positive:-5.283366412367494
order	negative:-6.798793515366139	positive:-6.957858209995827
effort	negative:-7.0663356934711965	positive:-7.616382030390469
boot	negative:-8.377438391872712	positive:-10.323348540928025
happen	negative:-6.769969953241143	positive:-6.828810453264077
woo	negative:-9.224604815989887	positive:-10.323217104657997
Moe	negative:-9.630135644392501	positive:-8.936988463832558
Woo	negative:-9.630037062331072	positive:-10.323184242891017
without	negative:-5.7746496120008555	positive:-6.065846626560081
standards	negative:-8.377734060331969	positive:-8.021059116393236
Shemp	negative:-9.630069924098052	positive:-9.630069924098052
again	negative:-5.985374612470578	positive:-5.637832152095117
?	negative:-4.570902187868768	positive:-5.174437209739026
Do	negative:-6.136744832221588	positive:-6.771051512758599
down	negative:-5.704435855927404	positive:-5.818549162694825
decides	negative:-7.146378401144733	positive:-7.491218887436463
Columbia	negative:-9.630037062331072	positive:-10.323184242891017
sound	negative:-6.769773180316462	positive:-7.029284375801547
gets	negative:-5.921480330742496	positive:-6.0241344848025795
still	negative:-5.687594460613492	positive:-5.208021380351606
darts	negative:-9.630037062331072	positive:-10.323184242891017
Curly	negative:-9.630102784785171	positive:-9.224637676677007
far	negative:-5.774355383775708	positive:-6.201097890331157
he	negative:-4.622107896869789	positive:-4.675992985364768
riding	negative:-8.377438391872712	positive:-10.323348540928025
Why	negative:-6.355288404862026	positive:-7.190086102484999
flick	negative:-6.5641834814084765	positive:-7.029546731097709
end	negative:-5.390310362264049	positive:-5.456755461672202
younger	negative:-8.021748669688549	positive:-6.99212925250739
bull	negative:-9.224604815989887	positive:-10.323217104657997
or	negative:-4.520533609304327	positive:-4.6668257025190645
get	negative:-4.903494122362912	positive:-5.019096132072935
off	negative:-5.156747293313922	positive:-5.5207126705153335
pitiful	negative:-8.531556214252005	positive:-10.32331568348006
probably	negative:-5.774747668841216	positive:-6.024559467237586
sensitive	negative:-9.224801963917187	positive:-8.377504103529983
original	negative:-5.958620925369501	positive:-6.037609336688131
Also	negative:-6.770166687453857	positive:-6.661953102813624
why	negative:-5.559376999388863	positive:-5.776184732253987
was	negative:-4.029075615658657	positive:-4.16260700828318
did	negative:-4.820087221031497	positive:-5.069681958432877
high	negative:-6.355714501657999	positive:-6.74248747675401
merely	negative:-7.925913159077909	positive:-7.925913159077909
carefully	negative:-8.713943484862313	positive:-8.937087036176523
using	negative:-7.146542494284367	positive:-7.233553871273997
n't	negative:-4.104078245629905	positive:-4.269554074814217
jokes	negative:-7.188806721661942	positive:-7.685243607975833
hash	negative:-9.630037062331072	positive:-10.323184242891017
going	negative:-5.5850968578829585	positive:-5.755318007742826
re-record	negative:-9.630037062331072	positive:-10.323184242891017
rather	negative:-6.395228863283949	positive:-6.0785592539589155
had	negative:-4.777894554694836	positive:-4.967938157582701
burning	negative:-8.531589071699969	positive:-9.63020136036808
answered	negative:-9.224637676677007	positive:-9.630102784785171
studio	negative:-8.244104121267357	positive:-8.531786193719137
appear	negative:-7.491186065577102	positive:-7.1889051937041675
Joe	negative:-8.244334047856094	positive:-7.758826232074394
life	negative:-5.7879084873091085	positive:-5.294250667165483
actually	negative:-5.410961511041087	positive:-5.696213448639576
15	negative:-7.490923451913116	positive:-7.616086594867122
any	negative:-4.987512876675401	positive:-5.371775777132963
!	negative:-4.699157763622165	positive:-4.742642875561904
honest	negative:-8.244432571641457	positive:-7.551285391081513
Topgun	negative:-10.323184242891017	positive:-9.630037062331072
been	negative:-4.890316719088857	positive:-5.05893943152465
thumping	negative:-10.323184242891017	positive:-9.630037062331072
Vision	negative:-10.323184242891017	positive:-9.630037062331072
me	negative:-4.809017648360572	positive:-4.949375006055495
Eagle	negative:-9.630102784785171	positive:-9.224637676677007
were	negative:-4.868831888198403	positive:-5.111145355620333
different	negative:-6.772491774873361	positive:-5.627359470570359
rubbish.	negative:-9.224637676677007	positive:-9.630102784785171
lot	negative:-5.715104279078573	positive:-5.568050861122076
song.	negative:-10.323217104657997	positive:-9.224604815989887
long	negative:-5.984361457714413	positive:-5.971458052878505
now	negative:-6.038557250531643	positive:-5.646885464555814
jets	negative:-10.323184242891017	positive:-9.630037062331072
some	negative:-4.651770051014789	positive:-4.6757028172264175
fighter	negative:-9.224736252259914	positive:-8.713910628493924
favirote	negative:-10.323184242891017	positive:-9.630037062331072
sequels	negative:-8.531819043611558	positive:-8.126353935503392
will	negative:-5.298187487984311	positive:-4.964502062270277
zooming	negative:-10.323217104657997	positive:-9.224604815989887
amazing	negative:-7.380813448891304	positive:-6.475104826347686
view	negative:-7.189528624892637	positive:-6.741503902365677
fantastic	negative:-8.714731714015052	positive:-6.991965116273949
looks	negative:-6.1522743245294285	positive:-6.542471960506805
background	negative:-7.279844148973224	positive:-7.433994828800482
opinion	negative:-7.0665654163279905	positive:-7.233619500991156
One	negative:-6.356991703776894	positive:-6.009795503792706
very	negative:-5.007732534438294	positive:-4.553553946336955
song	negative:-7.379861958424652	positive:-7.433929179694927
air	negative:-7.27964718872573	positive:-7.839262976661153
To	negative:-6.355943863214731	positive:-6.565035661073289
dogfight	negative:-10.323184242891017	positive:-9.630037062331072
This	negative:-4.490791092461962	positive:-4.4822318390662925
Topgun.	negative:-10.323184242891017	positive:-9.630037062331072
like	negative:-4.4141317018422805	positive:-4.517431271680085
but	negative:-4.084421275028407	positive:-4.086309849716275
good	negative:-4.675670571124162	positive:-4.6551219028967745
Queen	negative:-8.531786193719137	positive:-8.244104121267357
always	negative:-6.2681815498953375	positive:-5.619094359129423
films	negative:-5.465362575432168	positive:-5.1970985888374885
Iron	negative:-9.22470339481195	positive:-8.937021322360168
Pieces	negative:-10.323217104657997	positive:-9.224604815989887
revolution	negative:-9.6302999262348	positive:-8.126222529458525
soon	negative:-6.859614903654202	positive:-6.714432893809704
finding	negative:-7.759023269939141	positive:-7.68491529778542
come-out	negative:-10.323184242891017	positive:-9.630037062331072
surprise	negative:-7.759285926713913	positive:-7.233192830817133
whole	negative:-5.806966710891432	positive:-5.934306133268033
Williams	negative:-8.377734060331969	positive:-8.021059116393236
student	negative:-8.714271989185098	positive:-7.684652572003941
rwint	negative:-10.323184242891017	positive:-9.630037062331072
overall	negative:-7.43412611408359	positive:-7.105622047111554
Gittes	negative:-10.323184242891017	positive:-9.630037062331072
re-cutting	negative:-10.323184242891017	positive:-9.630037062331072
late	negative:-6.923989455420885	positive:-6.798826312466878
Harry	negative:-8.714239143608575	positive:-7.758727698581137
after	negative:-5.465004519994852	positive:-5.263634768230203
tape	negative:-8.37763551389188	positive:-8.37763551389188
years.	negative:-8.713943484862313	positive:-8.937087036176523
tangible	negative:-10.323184242891017	positive:-9.630037062331072
Towne	negative:-10.323184242891017	positive:-9.630037062331072
DVD	negative:-6.395588887507649	positive:-5.932965365559536
meandering	negative:-8.937021322360168	positive:-9.22470339481195
icon	negative:-10.323217104657997	positive:-9.224604815989887
Mike	negative:-8.126386784316733	positive:-8.37770121259764
7	negative:-7.839197314623636	positive:-7.379664985245196
breaker	negative:-9.630102784785171	positive:-9.224637676677007
uniform	negative:-9.630069924098052	positive:-9.630069924098052
movements	negative:-8.936988463832558	positive:-9.630135644392501
after-game	negative:-10.323184242891017	positive:-9.630037062331072
omitting.	negative:-10.323184242891017	positive:-9.630037062331072
bonding	negative:-8.93718559880494	positive:-8.244038418244994
As	negative:-5.80713009623613	positive:-5.874571377031662
Look	negative:-8.377766906987361	positive:-7.925781783244304
Actor	negative:-9.22470339481195	positive:-8.937021322360168
memorable	negative:-7.839427112894595	positive:-7.066237224661113
use	negative:-6.337350011910793	positive:-6.519671568704748
Tepper	negative:-10.323184242891017	positive:-9.630037062331072
casual	negative:-9.630135644392501	positive:-8.936988463832558
released	negative:-7.189463018856858	positive:-6.798596710169846
Ogend	negative:-10.323184242891017	positive:-9.630037062331072
word	negative:-7.066696662841943	positive:-7.066696662841943
catch	negative:-7.92604451765417	positive:-7.6158895893503304
showers	negative:-10.323184242891017	positive:-9.630037062331072
American	negative:-6.414769573344477	positive:-6.183657852381091
UCLA	negative:-9.630069924098052	positive:-9.630069924098052
Robert	negative:-6.992916731630673	positive:-6.798760717189714
thin	negative:-7.433502355425129	positive:-8.53211464409324
saw	negative:-5.7444085316145985	positive:-5.786081228015167
enough	negative:-5.49381235344619	positive:-5.852757445919462
fresh	negative:-8.377734060331969	positive:-8.021059116393236
No	negative:-6.454641542404669	positive:-6.74232361485645
her	negative:-5.153291594497779	positive:-5.093328129730222
dark-blue	negative:-10.323184242891017	positive:-9.630037062331072
sexual	negative:-7.685046634796378	positive:-7.49089062035542
Good	negative:-8.021650191181404	positive:-7.105359459307248
Warren	negative:-8.937021322360168	positive:-9.22470339481195
preservation	negative:-10.323217104657997	positive:-9.224604815989887
readying	negative:-10.323184242891017	positive:-9.630037062331072
soaring	negative:-10.323184242891017	positive:-9.630037062331072
moments	negative:-6.82933499184608	positive:-6.394016920588235
wandering	negative:-8.713910628493924	positive:-9.224736252259914
others	negative:-6.688223617984329	positive:-6.519147287940395
:	negative:-5.11517385041642	positive:-5.057415016264228
Easy	negative:-9.630168502920114	positive:-8.71387777104596
'll	negative:-5.8516798772018275	positive:-5.796417198526778
budget	negative:-6.433760020303522	positive:-7.02974345240982
intense	negative:-8.53211464409324	positive:-7.433502355425129
Stiers	negative:-10.323184242891017	positive:-9.630037062331072
used	negative:-6.266382311632504	positive:-6.301473631443773
before	negative:-5.594026347525337	positive:-5.685833896778459
Chinatown	negative:-10.323184242891017	positive:-9.630037062331072
based	negative:-6.859746059795777	positive:-6.611909895891195
certain	negative:-7.2802707631400025	positive:-6.890805996378279
simply	negative:-6.107284873596517	positive:-6.520130089002303
Director	negative:-7.685276433067336	positive:-7.146279932334649
car	negative:-6.890805996378279	positive:-7.2802707631400025
Five	negative:-8.937021322360168	positive:-9.22470339481195
early	negative:-6.828908825208478	positive:-6.687830226948572
Black	negative:-7.925847473318557	positive:-8.126518168780708
60	negative:-8.714140600405512	positive:-8.020993419845567
guard	negative:-9.630168502920114	positive:-8.71387777104596
You	negative:-5.984197949481409	positive:-6.037543930186701
Two	negative:-7.55171221535131	positive:-7.2797784998676685
ground	negative:-8.126518168780708	positive:-7.925847473318557
not	negative:-4.221360208181213	positive:-4.241119358161676
powder-blue	negative:-10.323217104657997	positive:-9.224604815989887
scene	negative:-5.478814343140774	positive:-5.639496724831248
watch	negative:-5.222242679472018	positive:-5.169444493905047
certainly	negative:-6.714826310639904	positive:-6.541554589365868
frisky	negative:-9.630069924098052	positive:-9.630069924098052
Cindy	negative:-9.630069924098052	positive:-9.630069924098052
name	negative:-6.687994158687763	positive:-6.687994158687763
Now	negative:-6.588107382751227	positive:-6.636897546920658
N	negative:-10.323184242891017	positive:-9.630037062331072
But	negative:-5.130808633093224	positive:-5.15866558759619
via	negative:-8.937021322360168	positive:-9.22470339481195
witnessed	negative:-9.224769108628303	positive:-8.531621928068358
comments	negative:-7.280008252884188	positive:-7.189036474678461
playing	negative:-6.375123098316652	positive:-6.455165805990188
yet	negative:-6.395196127380844	positive:-6.0929152555079105
release	negative:-7.434224566736148	positive:-6.9923918144571084
male	negative:-7.066663852828324	positive:-7.105884565981605
repeat	negative:-8.531720490696776	positive:-8.531720490696776
stayed	negative:-8.244235514362838	positive:-8.02109196304863
nice	negative:-6.68907543469868	positive:-6.063981717383751
luck	negative:-7.684718259920672	positive:-8.377865440480617
success	negative:-8.02142037027654	positive:-7.433633705374421
managed	negative:-7.759023269939141	positive:-7.68491529778542
could	negative:-4.815755208054905	positive:-5.127729973075731
There	negative:-5.168403911084824	positive:-5.435350085057427
'm	negative:-5.375571791872861	positive:-5.612899978179028
Cinematheque	negative:-10.323217104657997	positive:-9.224604815989887
shows	negative:-6.56562520648536	positive:-6.064145445137608
thirty	negative:-8.937087036176523	positive:-8.713943484862313
nudity	negative:-7.379664985245196	positive:-7.839197314623636
between	negative:-5.946499868927515	positive:-5.874179207347889
folks	negative:-7.758760544157663	positive:-8.531950432391145
Jakes	negative:-10.323217104657997	positive:-9.224604815989887
sports	negative:-8.377504103529983	positive:-9.224801963917187
young	negative:-6.436248479725896	positive:-5.6933397896068865
themselves.	negative:-10.323217104657997	positive:-9.224604815989887
'70	negative:-10.323184242891017	positive:-9.630037062331072
first	negative:-5.177220657078654	positive:-4.898196647369987
accurate	negative:-8.244202667707446	positive:-8.126419632051062
possible	negative:-7.146476860259665	positive:-7.32879841705362
little	negative:-5.41265570882032	positive:-5.289211517729198
-	negative:-5.503019923123558	positive:-5.4871465739672685
clashes	negative:-10.323184242891017	positive:-9.630037062331072
Jack	negative:-7.7591546069501	positive:-7.433732206515471
character	negative:-5.342431893911869	positive:-5.308983959844329
connection	negative:-7.925814628820829	positive:-8.244268359939364
Karen	negative:-9.22470339481195	positive:-8.937021322360168
college	negative:-7.838934623350043	positive:-7.925946000339673
last	negative:-6.108397548384873	positive:-5.958457401093958
lucky	negative:-8.531720490696776	positive:-8.531720490696776
low	negative:-6.518589938287425	positive:-7.280729990334322
Phillipino	negative:-10.323184242891017	positive:-9.630037062331072
leaving	negative:-7.7591546069501	positive:-7.433732206515471
Filipino	negative:-9.630102784785171	positive:-9.224637676677007
beings	negative:-9.224769108628303	positive:-8.531621928068358
drops	negative:-8.713976340151197	positive:-8.713976340151197
total	negative:-7.232995844704018	positive:-8.37812814900702
A	negative:-5.303337424683202	positive:-5.174720046861109
personal	negative:-7.75931875396053	positive:-7.1887738954929175
extent	negative:-8.531819043611558	positive:-8.126353935503392
servant	negative:-9.22470339481195	positive:-8.937021322360168
Ichikawa's/Shohei	negative:-10.323184242891017	positive:-9.630037062331072
shooting	negative:-7.685013802160735	positive:-7.551482409536212
Shohei	negative:-10.323249965345116	positive:-8.936955604225226
conclusion	negative:-7.838868939747931	positive:-8.12655101219971
Like	negative:-7.279811324959172	positive:-7.4911204186263785
already	negative:-6.859647694302312	positive:-6.687797437375653
other	negative:-5.008983445107719	positive:-4.961581206213135
couple	negative:-6.3374155276837385	positive:-6.476251972537955
salt	negative:-9.63020136036808	positive:-8.531589071699969
Tamura	negative:-10.323217104657997	positive:-9.224604815989887
screaming	negative:-7.68468541650167	positive:-8.531983276888873
importantly	negative:-8.937119891465406	positive:-8.531654783357242
equipment	negative:-8.937054179808134	positive:-8.937054179808134
relationship	negative:-7.2341115866239845	positive:-6.611581973277993
bag	negative:-8.377569810869517	positive:-8.714042047490729
worse	negative:-6.151160264320492	positive:-8.022962441222083
remaining	negative:-8.531720490696776	positive:-8.531720490696776
getting	negative:-6.4142455329813775	positive:-6.476120936699465
Fires	negative:-10.323217104657997	positive:-9.224604815989887
played	negative:-6.168498712752988	positive:-6.1226891767216935
